DATE,DJI,FTSE,GDAXI,GSPC,HSI,IXIC,N225,RUT,STI,STOXX50E,month
1988-11-30,0.02692993559124282,0.003295830215929973,0.03723475623436892,0.014653900393789224,0.00724501893932118,0.024686025957528685,0.01822943643765055,0.036978476377968715,0.03437974006579547,0.0393665404036818,Nov
1988-12-31,0.07954870861908435,0.13477152842140502,-0.00122249952562262,0.0686999674406834,0.1268915466394076,0.05743694518081244,0.045865663286486356,0.04309956147397633,0.09150564039296466,0.01688813558207748,Dec
1989-01-31,-0.0330556704127197,-0.024371007431900335,-0.01243602733118764,-0.029371293181755572,-0.015872287960439095,-0.005240126775434429,0.012859008499975955,0.004669282244765285,-0.025565860757073688,-0.0261654620585123,Jan
1989-02-28,0.011532859208745735,0.029689388854352083,0.010763238828840612,0.020592474545273094,-0.010625577032794544,0.014114415112387552,0.02565525752858503,0.021379525738612973,0.07321616772155456,0.02751871485482186,Feb
1989-03-31,0.052020367722885985,0.0205110934965532,0.025511143194044253,0.04887581648984238,0.042213650606501583,0.049375007740100486,0.02556140104629667,0.04210557269474963,0.0589535731694815,0.01182512519764705,Mar
1989-04-30,0.031813307344648795,-0.001701209220119315,0.034702021211023164,0.034534261810772994,-0.12970195951548474,0.04656274605084771,0.016037563358060416,0.040754018196826204,0.010372520510431539,0.024978512143956404,Apr
1989-05-31,-0.015295917598315997,0.01716181232649762,0.04873060267459472,-0.007924986008366915,-0.16804481772390162,-0.026075619346334372,-0.04003048436704944,-0.024252559305943534,0.022034987227535136,0.030734609663372537,May
1989-06-30,0.08298013830894702,0.06534571910238453,0.04171887765773399,0.08468140232724579,0.12420164712204632,0.04346060119692719,0.060719477896192524,0.04129965156016049,0.05558656157167654,0.04031438936242922,Jun
1989-07-31,0.026393122652438507,0.038810353859421866,0.01154816777862631,0.015397563124994443,-0.027676859225156978,0.03050528805621427,-0.014945972837988854,0.02092448026256572,-0.008152500882196257,0.031032357177018514,Jul
1989-08-31,-0.014565756698112334,-0.03952350548510285,-0.023539106113798322,-0.006565875658720335,0.09473390428038189,0.006364043622062434,0.0341877541998325,0,0.008470366817120422,-0.008015726148275051,Aug
1989-09-30,-0.017887656804197995,-0.06622602480034093,-0.07470218961537262,-0.025497775197081053,-0.007821641484024292,-0.037057195968703494,-0.0034329731987125644,-0.06215843274690332,-0.03169007941711829,-0.05712519697041179,Sep
1989-10-31,0.024576481735695422,0.06075087928974259,0.05488388734066707,0.01640600709301524,0.00855046040246628,-2.1923928187536718e-4,0.04735584348396874,0.0042308020646188455,0.0554302434907198,0.051204878973188345,Oct
1989-11-30,0.01483049278477934,0.05362703915113639,0.10317453821568348,0.021132837632587373,0.0317328120666697,-0.003950011745143283,0.042827931371569546,7.132006245848918e-4,0.050394805350630865,0.06038568169892083,Nov
1989-12-31,-0.05926897498224828,-0.035886162501960854,0.017905769777105746,-0.07129970011101028,-0.0302120123845179,-0.08546699075032728,-0.04553895780150076,-0.09360640714668762,0.010283719754405656,-0.026352579926873426,Dec
1990-01-31,0.012682657870874548,-0.038360953139728274,-0.025299562742812365,0.008502791113968755,0.07051842479578853,0.021363262628763775,-0.07381589308661567,0.0286202172412243,0.013836283501031712,-0.030551125795746866,Jan
1990-02-28,0.032126077939238815,7.565257278132471e-4,0.09072021658821722,0.02396550342197109,0.0154676923737239,0.02370002224834739,-0.1429402052116392,0.03684986411281829,0.022385176551173617,0.07042578785709076,Feb
1990-03-31,-0.010204609585745395,-0.06515048468166094,-0.06530838173094707,-0.027255210458756337,-0.015467692373723786,-0.02700645482809037,-0.013268447416339422,-0.034443346191494625,-0.06039867619052492,-0.01341229413104764,Mar
1990-04-30,0.07512835596664577,0.10497689854276396,4.791733243489313e-4,0.08800097814990954,0.060544803801466436,0.08404489602453341,0.11290593834263309,0.06620158656745063,0.0629605895652925,0.026116327424043892,Apr
1990-05-31,-0.007015325523025471,0.012500956818143436,0.018437407606257672,-0.009009128347801276,0.04332920246182145,0.0060750632412669035,-0.035979895235629854,0.0012424401836173312,-0.01868488804909148,0.0037200239635781936,May
1990-06-30,0.007611861664813465,-0.02059302966125825,0.006040337994136227,-0.005236846459976083,0.04765642663901958,-0.05202327364603499,-0.02822212474595919,-0.046041463264535065,0.019746045749770652,-0.006784023069995597,Jun
1990-07-31,-0.10709931603693491,-0.0741641131100053,-0.16028029454049159,-0.09906281433497616,-0.1076901614406353,-0.13820956835330284,-0.1794978451525226,-0.14636889522242,-0.19805647654499337,-0.1420074943908853,Jul
1990-08-31,-0.05488243209463904,-0.0834921691045191,-0.198859776724495,-0.05254071115475382,-0.11261673420738605,-0.09544211462871309,-0.21490347035626148,-0.09624253761230674,-0.14141868094137885,-0.12452181756565617,Aug
1990-09-30,-0.01298478616422962,0.02169389367872016,0.020302267689939292,-0.006884164146582384,0.08004270767353636,-0.05658554846261766,0.18275092539989338,-0.06444381098233165,0.044837824478763125,0.016057255602238703,Sep
1990-10-31,0.047122701969214115,0.047690392496416,0.013953386100690766,0.058239771933794066,-0.008061850852112041,0.08875969407802545,-0.1137565462478478,0.07033263160222626,-0.02419434702628571,-0.013440279075025981,Oct
1990-11-30,0.023585695017764995,-0.007529293416998539,-0.053974439312004206,0.02449349161679889,0.018018505502678212,0.034565918019425323,0.06013362466484011,0.03619954012621527,0.025611005742151437,-0.03701375302834579,Nov
1990-12-31,0.04070944275951518,0.01242542236643188,0.04440792949430258,0.04073956011412044,0.06991836900789432,0.10477055828917918,-0.022680632693692332,0.08675284823025493,0.09408789313908747,0.015082775934422784,Dec
